harga,merek,model,varian,tahun,jarak_tempuh,tipe_bahan_bakar,warna,transmisi
155000792,BMW,Serie 3,320i Business Edition,2006,85.000-90.000 km,Bensin,Hitam,Automatic
56000000,Hyundai,Getz,Lain-lain,2005,0-5.000 km,Bensin,Biru,Manual
120000000,Isuzu,Grand touring,Lain-lain,2004,10.000-15.000 km,Diesel,Silver,Manual
169000000,Isuzu,Grand touring,Lain-lain,2010,100.000-105.000 km,Diesel,Coklat,Manual
120000000,Proton,Lain-lain,Lain-lain,2010,75.000-80.000 km,Bensin,Oranye,Manual
420000000,Mercedes-Benz,SLK,Lain-lain,2005,40.000-45.000 km,Bensin,Silver,Automatic
449000000,Mercedes-Benz,S-Class,S300 L,2010,40.000-45.000 km,Bensin,Abu-abu,Automatic Triptonic
6000000000,Aston Martin,Vantage,V8 S,2018,0-5.000 km,Bensin,Abu-abu,Automatic Triptonic
90000000,KIA,Picanto,SE,2014,15.000-20.000 km,Bensin,Putih,Automatic
166000000,Isuzu,Grand touring,Lain-lain,2012,80.000-85.000 km,Diesel,Abu-abu,Manual
380000000,Honda,HR-V,1.8L Prestige,2019,0-5.000 km,Bensin,Putih,Automatic Triptonic
205000000,Smart,Fortwo,Lain-lain,2010,60.000-65.000 km,Hybrid,Silver,Automatic Triptonic
233000000,Mitsubishi,Pajero Sport,Exceed,2012,110.000-115.000 km,Diesel,Silver,Automatic
595000000,Land Rover,Range Rover Evoque,Dynamic Luxury Si4,2013,30.000-35.000 km,Bensin,Putih,Automatic
200000000,Mazda,Biante,2.0 SKYACTIV,2015,90.000-95.000 km,Bensin,Hitam,Automatic
72000000,Chery,Lain-lain,Lain-lain,2015,5.000-10.000 km,Bensin,Putih,Manual
89000000,Volkswagen,Caravelle,2.5,2000,90.000-95.000 km,Bensin,Biru,Automatic
189000000,Volkswagen,Polo,TSI 1.2,2016,40.000-45.000 km,Bensin,Putih,Automatic
30000000,Timor,DOHC,Lain-lain,1997,45.000-50.000 km,Bensin,Hijau,Manual
175000000,Toyota,Lain-lain,Lain-lain,2015,80.000-85.000 km,Bensin,Putih,Manual
230000000,Mitsubishi,Xpander,ULTIMATE A/T,2018,10.000-15.000 km,Bensin,Putih,Automatic
47000000,Peugeot,206,Sporty,2003,40.000-45.000 km,Bensin,Biru,Manual
360000000,Lexus,RX,270,2011,75.000-80.000 km,Bensin,Hitam,Automatic Triptonic
485000000,Mercedes-Benz,C-Class,C250,2014,0-5.000 km,Bensin,Putih,Automatic Triptonic
795000000,Mercedes-Benz,E-Class,E250,2013,5.000-10.000 km,Bensin,Putih,Automatic
189000000,Mitsubishi,Outlander,Lain-lain,2014,30.000-35.000 km,Bensin,Putih,Automatic
97000000,Audi,Audi A3,Sportback,2002,95.000-100.000 km,Bensin,Hitam,Automatic Triptonic
129000000,Honda,Freed,S,2012,90.000-95.000 km,Bensin,Abu-abu,Automatic Triptonic
95000000,Mercedes-Benz,E-Class,E260,2004,100.000-105.000 km,Bensin,Hitam,Automatic Triptonic
28000000,Peugeot,405,2,1996,150.000-155.000 km,Bensin,Merah,Automatic
53000000,Isuzu,Panther,2.5,1997,180.000-185.000 km,Diesel,Hijau,Manual
135000000,Toyota,Rush,S,2013,95.000-100.000 km,Bensin,Hitam,Automatic
50000000,Hyundai,Accent,GLS,2006,95.000-100.000 km,Bensin,Marun,Manual
36000000,Mitsubishi,Lancer Evolution,2.0 Evolution 3,<1986,255.000-260.000 km,Bensin,Biru,Manual
54000000,Toyota,Soluna,Gli,2000,150.000-155.000 km,Bensin,Hijau,Manual
140000000,Isuzu,Lain-lain,Lain-lain,2010,20.000-25.000 km,Diesel,Putih,Manual
185000000,Toyota,Innova,G,2012,75.000-80.000 km,Diesel,Abu-abu,Automatic
198000000,Volkswagen,Polo,TSI 1.2,2017,15.000-20.000 km,Bensin,Putih,Automatic
157000000,Hyundai,New Tucson,Lain-lain,2012,60.000-65.000 km,Bensin,Hitam,Automatic
83000000,Nissan,X-Trail,Lain-lain,2006,155.000-160.000 km,Bensin,Hitam,Automatic
205000000,Mitsubishi,Xpander,EXCEED M/T,2018,0-5.000 km,Bensin,Silver,Manual
249000000,Mazda,RX-8,Sport,2010,65.000-70.000 km,Bensin,Hitam,Automatic Triptonic
65000000,Jeep,Jeep,Lain-lain,2001,25.000-30.000 km,Bensin,Biru,Manual
126000000,Honda,CR-V,2.4 i-VTEC,2008,70.000-75.000 km,Bensin,Hitam,Automatic Triptonic
80000000,Honda,Jazz,Lain-lain,2005,15.000-20.000 km,Bensin,Marun,Manual
140000000,Honda,Jazz,RS,2016,5.000-10.000 km,Bensin,Hitam,Automatic
2775000000,Porsche,911,Lain-lain,2016,10.000-15.000 km,Bensin,Abu-abu,Automatic Triptonic
95000000,Nissan,Grand livina,Lain-lain,2010,130.000-135.000 km,Bensin,Silver,Automatic
